day,0_,1_
2023-02-14,779,5824
2023-02-15,754,5999
2023-02-16,822,6276
2023-02-17,742,6033
2023-02-18,767,5474
2023-02-19,789,5561
2023-02-20,859,5939
2023-02-21,866,5752
2023-02-22,847,5540
2023-02-23,770,5358
2023-02-24,761,5266
2023-02-25,866,5353
2023-02-26,829,5100
2023-02-27,906,5612
2023-02-28,812,5693
2023-03-01,810,5705
2023-03-02,833,5941
2023-03-03,777,5720
2023-03-04,794,5317
2023-03-05,860,5356
2023-03-06,747,6003
2023-03-07,685,5382
2023-03-08,732,4887
2023-03-09,863,5903
2023-03-10,803,5786
2023-03-11,764,5422
2023-03-12,838,5708
2023-03-13,964,6308
2023-03-14,875,6227
2023-03-15,787,5883
2023-03-16,843,5926
2023-03-17,813,5692
2023-03-18,852,4861
2023-03-19,839,4905
2023-03-20,816,5589
2023-03-21,835,5598
2023-03-22,809,5304
2023-03-23,864,5220
2023-03-24,750,5065
2023-03-25,930,4817
2023-03-26,853,4886
2023-03-27,790,4945
2023-03-28,927,5199
2023-03-29,879,5417
2023-03-30,964,5589
2023-03-31,888,5485
2023-04-01,828,5651
2023-04-02,949,5254
2023-04-03,930,5233
2023-04-04,841,5121
2023-04-05,938,5245
2023-04-06,931,5097
2023-04-07,834,4971
2023-04-08,809,4475
2023-04-09,837,5201
2023-04-10,1033,5725
2023-04-11,901,5921
2023-04-12,829,5703
2023-04-13,828,5267
2023-04-14,826,5171
2023-04-15,857,4636
2023-04-16,778,4562
2023-04-17,2001,3878
2023-04-18,2988,2665
2023-04-19,2043,3374
2023-04-20,1319,4374
2023-04-21,2119,3722
2023-04-22,2231,3365
2023-04-23,2042,3554
2023-04-24,2173,4058
2023-04-25,2613,4050
2023-04-26,2946,3976
2023-04-27,2716,3714
2023-04-28,2570,3666
2023-04-29,2211,3361
2023-04-30,2072,3530
2023-05-01,2008,3734
2023-05-02,1721,4416
2023-05-03,1698,4018
2023-05-04,1599,4232
2023-05-05,1920,3688
2023-05-06,1799,3242
2023-05-07,1775,3141
2023-05-08,1895,3038
2023-05-09,1129,3855
2023-05-10,2055,3859
2023-05-11,1888,4398
2023-05-12,1612,4088
2023-05-13,1544,3653
2023-05-14,1764,3456
