,day,0_,1_,2_
0,2023-02-14,29637,66758,87048
1,2023-02-15,28380,64495,92957
2,2023-02-16,27851,62480,92199
3,2023-02-17,25972,64965,87789
4,2023-02-18,27971,96361,78835
5,2023-02-19,27447,100186,77589
6,2023-02-20,24080,86681,76137
7,2023-02-21,23042,81079,78487
8,2023-02-22,27808,85180,73304
9,2023-02-23,26685,103533,78827
10,2023-02-24,27339,95652,74994
11,2023-02-25,26323,62304,83144
12,2023-02-26,26018,60899,106883
13,2023-02-27,21683,70974,96338
14,2023-02-28,23220,76570,86623
15,2023-03-01,24567,70975,75921
16,2023-03-02,24439,65605,66094
17,2023-03-03,24305,61179,65219
18,2023-03-04,29017,65804,68820
19,2023-03-05,31693,70828,66315
20,2023-03-06,28131,79185,58309
21,2023-03-07,25162,74171,64122
22,2023-03-08,27150,77372,59464
23,2023-03-09,25864,75088,60949
24,2023-03-10,25456,75321,63472
25,2023-03-11,24330,77157,61459
26,2023-03-12,24675,75856,63638
27,2023-03-13,21941,73538,71292
28,2023-03-14,23852,73323,67729
29,2023-03-15,25777,73580,72000
30,2023-03-16,25270,73540,55356
31,2023-03-17,27263,71463,54016
32,2023-03-18,30382,72138,48659
33,2023-03-19,24887,73280,51398
34,2023-03-20,21539,71164,51197
35,2023-03-21,19265,65991,49450
36,2023-03-22,18940,60040,48368
37,2023-03-23,19588,58376,45525
38,2023-03-24,19663,21866,12055
39,2023-03-25,21856,59283,43377
40,2023-03-26,22589,62013,44444
41,2023-03-27,20455,61288,43084
42,2023-03-28,20374,61310,43402
43,2023-03-29,18556,40298,48519
44,2023-03-30,17850,38859,46828
45,2023-03-31,18526,38898,48240
46,2023-04-01,21356,42058,50235
47,2023-04-02,20000,41499,52107
48,2023-04-03,16946,41616,48845
49,2023-04-04,17713,58288,48826
50,2023-04-05,20799,59738,48795
51,2023-04-06,20348,54541,48039
52,2023-04-07,20810,48278,47290
53,2023-04-08,24760,67732,46923
54,2023-04-09,24164,70689,43635
55,2023-04-10,20848,68244,45306
56,2023-04-11,23578,62570,49542
57,2023-04-12,23439,41815,50180
58,2023-04-13,21217,42815,46815
59,2023-04-14,21518,45232,36197
60,2023-04-15,23864,81317,47474
61,2023-04-16,22589,65943,42217
62,2023-04-17,27669,52746,43412
63,2023-04-18,28069,62032,69668
64,2023-04-19,33146,69109,52602
65,2023-04-20,29891,63305,49391
66,2023-04-21,27299,72370,49697
67,2023-04-22,33986,22272,84264
68,2023-04-23,34254,26148,84487
69,2023-04-24,29927,19732,85350
70,2023-04-25,15174,9096,81267
71,2023-04-26,15960,9857,52554
72,2023-04-27,16942,10892,50290
73,2023-04-28,16963,16966,70215
74,2023-04-29,17676,15025,58068
75,2023-04-30,17516,15575,58901
76,2023-05-01,15052,13070,55515
77,2023-05-02,15791,13538,54775
78,2023-05-03,15783,13841,53524
79,2023-05-04,16092,14433,59498
80,2023-05-05,17357,14878,62040
81,2023-05-06,19903,14544,65858
82,2023-05-07,19202,16228,67438
83,2023-05-08,16271,22488,67721
84,2023-05-09,17250,26719,70083
85,2023-05-10,18227,26175,68339
86,2023-05-11,18280,9708,51929
87,2023-05-12,16322,5795,43741
88,2023-05-13,19411,8559,45978
89,2023-05-14,19729,8688,47266
